city,lat,lon,month,monthnum,sunshine
Seattle,47.608013,-122.335167,Jan,0,69
Seattle,47.608013,-122.335167,Feb,1,108
Seattle,47.608013,-122.335167,Mar,2,178
Seattle,47.608013,-122.335167,Apr,3,207
Seattle,47.608013,-122.335167,May,4,253
Seattle,47.608013,-122.335167,Jun,5,268
Seattle,47.608013,-122.335167,Jul,6,312
Seattle,47.608013,-122.335167,Aug,7,281
Seattle,47.608013,-122.335167,Sep,8,221
Seattle,47.608013,-122.335167,Oct,9,142
Seattle,47.608013,-122.335167,Nov,10,72
Seattle,47.608013,-122.335167,Dec,11,52
Chicago,41.881832,-87.623177,Jan,0,135
Chicago,41.881832,-87.623177,Feb,1,136
Chicago,41.881832,-87.623177,Mar,2,187
Chicago,41.881832,-87.623177,Apr,3,215
Chicago,41.881832,-87.623177,May,4,281
Chicago,41.881832,-87.623177,Jun,5,311
Chicago,41.881832,-87.623177,Jul,6,318
Chicago,41.881832,-87.623177,Aug,7,283
Chicago,41.881832,-87.623177,Sep,8,226
Chicago,41.881832,-87.623177,Oct,9,193
Chicago,41.881832,-87.623177,Nov,10,113
Chicago,41.881832,-87.623177,Dec,11,106
New York,40.730610,-73.935242,Jan,0,154
New York,40.730610,-73.935242,Feb,1,171
New York,40.730610,-73.935242,Mar,2,213
New York,40.730610,-73.935242,Apr,3,237
New York,40.730610,-73.935242,May,4,268
New York,40.730610,-73.935242,Jun,5,289
New York,40.730610,-73.935242,Jul,6,302
New York,40.730610,-73.935242,Aug,7,271
New York,40.730610,-73.935242,Sep,8,235
New York,40.730610,-73.935242,Oct,9,213
New York,40.730610,-73.935242,Nov,10,169
New York,40.730610,-73.935242,Dec,11,155
San Francisco,37.733795,-122.446747,Jan,0,165
San Francisco,37.733795,-122.446747,Feb,1,182
San Francisco,37.733795,-122.446747,Mar,2,251
San Francisco,37.733795,-122.446747,Apr,3,281
San Francisco,37.733795,-122.446747,May,4,314
San Francisco,37.733795,-122.446747,Jun,5,330
San Francisco,37.733795,-122.446747,Jul,6,300
San Francisco,37.733795,-122.446747,Aug,7,272
San Francisco,37.733795,-122.446747,Sep,8,267
San Francisco,37.733795,-122.446747,Oct,9,243
San Francisco,37.733795,-122.446747,Nov,10,189
San Francisco,37.733795,-122.446747,Dec,11,156
Houston,29.749907,-95.358421,Jan,0,144
Houston,29.749907,-95.358421,Feb,1,141
Houston,29.749907,-95.358421,Mar,2,193
Houston,29.749907,-95.358421,Apr,3,212
Houston,29.749907,-95.358421,May,4,266
Houston,29.749907,-95.358421,Jun,5,298
Houston,29.749907,-95.358421,Jul,6,294
Houston,29.749907,-95.358421,Aug,7,281
Houston,29.749907,-95.358421,Sep,8,238
Houston,29.749907,-95.358421,Oct,9,239
Houston,29.749907,-95.358421,Nov,10,181
Houston,29.749907,-95.358421,Dec,11,146
Miami,25.761681,-80.191788,Jan,0,222
Miami,25.761681,-80.191788,Feb,1,227
Miami,25.761681,-80.191788,Mar,2,266
Miami,25.761681,-80.191788,Apr,3,275
Miami,25.761681,-80.191788,May,4,280
Miami,25.761681,-80.191788,Jun,5,251
Miami,25.761681,-80.191788,Jul,6,267
Miami,25.761681,-80.191788,Aug,7,263
Miami,25.761681,-80.191788,Sep,8,216
Miami,25.761681,-80.191788,Oct,9,215
Miami,25.761681,-80.191788,Nov,10,212
Miami,25.761681,-80.191788,Dec,11,209
